epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6963,1.40802,3.77245,1.13242,0.01169,0.66297,0.19341,0.11874,1.01615,3.58232,0.97179,0.00024901,0.00024901,0.00024901
2,31.4083,1.50945,2.5622,1.14813,0.97499,0.03062,0.35558,0.2474,1.13404,3.2504,1.05292,0.00050034,0.00050034,0.00050034
3,45.0249,1.46674,1.8126,1.16893,0.80422,0.37472,0.55809,0.35233,1.13124,2.28544,1.10275,0.000746595,0.000746595,0.000746595
4,58.8296,1.41274,1.60197,1.1714,0.55117,0.57799,0.57685,0.3711,1.19492,1.76403,1.14066,0.000746161,0.000746161,0.000746161
5,72.3822,1.42547,1.43503,1.17688,0.779,0.61133,0.66153,0.43304,1.14153,1.28904,1.12661,0.000738548,0.000738548,0.000738548
6,85.8699,1.4397,1.46105,1.18964,0.66176,0.61966,0.66307,0.44391,1.11679,1.1511,1.13712,0.000730935,0.000730935,0.000730935
7,99.5099,1.35203,1.37942,1.16007,0.78989,0.61099,0.6768,0.45836,1.09909,1.11975,1.09973,0.000723321,0.000723321,0.000723321
8,113.012,1.36225,1.2475,1.13724,0.66337,0.65434,0.70746,0.46356,1.12959,1.1195,1.11771,0.000715708,0.000715708,0.000715708
9,126.408,1.32773,1.2612,1.13936,0.63642,0.66359,0.65643,0.42752,1.13558,1.23115,1.11705,0.000708095,0.000708095,0.000708095
10,139.991,1.33996,1.35901,1.15187,0.81083,0.72235,0.77641,0.54257,1.04584,0.92936,1.06486,0.000700482,0.000700482,0.000700482
11,153.556,1.3333,1.21163,1.12878,0.74167,0.73292,0.77812,0.53624,1.05229,0.90631,1.09821,0.000692869,0.000692869,0.000692869
12,166.964,1.33432,1.15092,1.14651,0.78374,0.69783,0.77668,0.53616,1.04623,0.98372,1.0833,0.000685256,0.000685256,0.000685256
13,180.214,1.33955,1.21924,1.13826,0.67955,0.72797,0.73172,0.50023,1.06876,0.99654,1.10544,0.000677643,0.000677643,0.000677643
14,193.319,1.31315,1.26603,1.15064,0.74956,0.71483,0.79538,0.53731,1.0747,0.93039,1.0951,0.00067003,0.00067003,0.00067003
15,206.838,1.28812,1.15539,1.12622,0.86294,0.72716,0.80145,0.54647,1.06835,0.85137,1.07753,0.000662417,0.000662417,0.000662417
16,220.139,1.30754,1.1174,1.11662,0.85293,0.72071,0.79208,0.53983,1.07303,0.84623,1.09234,0.000654804,0.000654804,0.000654804
17,233.598,1.31557,1.06272,1.13503,0.82319,0.69723,0.79256,0.54286,1.065,0.88801,1.09463,0.00064719,0.00064719,0.00064719
18,246.905,1.3009,1.02447,1.10465,0.84163,0.7867,0.82894,0.57798,1.0318,0.78086,1.06861,0.000639577,0.000639577,0.000639577
19,260.378,1.29736,1.02272,1.10168,0.85947,0.72732,0.80314,0.55806,1.04428,0.80634,1.08685,0.000631964,0.000631964,0.000631964
20,273.892,1.28018,1.04291,1.13606,0.84252,0.77305,0.81964,0.57528,1.07013,0.77886,1.0625,0.000624351,0.000624351,0.000624351
21,287.442,1.21966,1.01044,1.09114,0.82418,0.74009,0.8239,0.5759,1.04542,0.76714,1.07485,0.000616738,0.000616738,0.000616738
22,301.175,1.25554,0.98889,1.10537,0.81885,0.75689,0.81127,0.56841,1.05491,0.82062,1.06483,0.000609125,0.000609125,0.000609125
23,314.619,1.23295,1.01937,1.11283,0.81113,0.72759,0.80836,0.56198,1.03677,0.82534,1.08082,0.000601512,0.000601512,0.000601512
24,328.196,1.24786,0.95753,1.09332,0.77422,0.75894,0.80675,0.55137,1.09157,0.86416,1.09323,0.000593899,0.000593899,0.000593899
25,341.566,1.22246,0.95488,1.0845,0.84274,0.72373,0.80086,0.56033,1.04108,0.83223,1.07467,0.000586286,0.000586286,0.000586286
26,355.155,1.26075,0.95189,1.10767,0.87331,0.71533,0.81155,0.57238,1.03362,0.77441,1.07015,0.000578672,0.000578672,0.000578672
27,368.293,1.24027,0.96255,1.1098,0.79677,0.73291,0.81389,0.56119,1.07992,0.80114,1.07473,0.000571059,0.000571059,0.000571059
28,381.629,1.23546,0.91814,1.09314,0.81227,0.74545,0.78822,0.55079,1.04607,0.81029,1.07874,0.000563446,0.000563446,0.000563446
29,395.043,1.19877,0.94483,1.09784,0.84858,0.77304,0.81901,0.56987,1.04904,0.74256,1.05477,0.000555833,0.000555833,0.000555833
30,408.519,1.21667,0.90606,1.09057,0.81808,0.79788,0.83328,0.57828,1.0398,0.79234,1.06915,0.00054822,0.00054822,0.00054822
31,421.861,1.22922,0.90566,1.11035,0.88279,0.77101,0.8373,0.59511,1.03105,0.74408,1.04973,0.000540607,0.000540607,0.000540607
32,435.024,1.22374,0.92308,1.10554,0.84649,0.76532,0.83314,0.58382,1.03527,0.76248,1.0844,0.000532994,0.000532994,0.000532994
33,448.723,1.19812,0.87983,1.07884,0.82813,0.76623,0.83154,0.58606,1.04659,0.72525,1.06129,0.000525381,0.000525381,0.000525381
34,462.542,1.20889,0.88831,1.07556,0.79384,0.80191,0.83419,0.58435,1.03973,0.72623,1.06608,0.000517768,0.000517768,0.000517768
35,476.314,1.20025,0.85746,1.08284,0.77493,0.81983,0.84197,0.58457,1.04144,0.73778,1.07398,0.000510155,0.000510155,0.000510155
36,489.672,1.19493,0.82101,1.07018,0.82067,0.78274,0.82795,0.58181,1.03551,0.77387,1.06826,0.000502541,0.000502541,0.000502541
37,503.375,1.17058,0.86204,1.07643,0.85129,0.7523,0.81201,0.57744,1.03404,0.74365,1.07353,0.000494928,0.000494928,0.000494928
38,517.116,1.18883,0.82262,1.06591,0.79565,0.81068,0.83815,0.58639,1.02316,0.72211,1.05698,0.000487315,0.000487315,0.000487315
39,530.156,1.15304,0.84188,1.07504,0.85534,0.72421,0.82239,0.56685,1.04908,0.75135,1.10371,0.000479702,0.000479702,0.000479702
40,543.401,1.14701,0.78455,1.05114,0.82044,0.79599,0.84039,0.58648,1.02255,0.68851,1.05226,0.000472089,0.000472089,0.000472089
41,556.704,1.16302,0.81617,1.05546,0.82125,0.77883,0.83047,0.58094,1.0195,0.74345,1.06127,0.000464476,0.000464476,0.000464476
