epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9735,1.48647,3.39928,1.18106,0.01016,0.73677,0.36981,0.25208,1.05677,3.45234,1.02634,0.000248794,0.000248794,0.000248794
2,27.5705,1.43456,1.97861,1.15997,0.7749,0.28012,0.54275,0.37437,1.16188,2.66693,1.07646,0.000405112,0.000405112,0.000405112
3,39.6673,1.41385,1.591,1.15095,0.63891,0.54884,0.64485,0.41844,1.1408,1.83962,1.10754,0.000459922,0.000459922,0.000459922
4,51.9213,1.37084,1.43702,1.1298,0.65733,0.66885,0.70214,0.47751,1.12421,1.31839,1.08684,0.000312214,0.000312214,0.000312214
5,65.0155,1.3279,1.3704,1.13353,0.80152,0.66747,0.72496,0.5166,1.07209,1.03008,1.07014,0.000159952,0.000159952,0.000159952
