epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,573.15,1.24092,0.84132,1.08826,0.88599,0.75842,0.83169,0.58416,1.03014,0.7118,1.07557,0.000612931,0.000612931,0.000612931
43,587.57,1.18207,0.81834,1.06324,0.84097,0.76581,0.80938,0.59175,0.98618,0.6953,1.05075,0.000609125,0.000609125,0.000609125
44,601.467,1.21608,0.82087,1.07449,0.80733,0.76339,0.81885,0.58057,1.0083,0.72128,1.05571,0.000605318,0.000605318,0.000605318
45,615.198,1.21259,0.80257,1.08047,0.8244,0.76596,0.80031,0.57188,1.01161,0.73098,1.05976,0.000601512,0.000601512,0.000601512
46,628.483,1.17922,0.80022,1.06572,0.8215,0.77366,0.81332,0.55685,1.04843,0.74292,1.08869,0.000597705,0.000597705,0.000597705
47,641.864,1.19703,0.7925,1.06936,0.81446,0.75084,0.81176,0.58315,1.02114,0.71464,1.08456,0.000593899,0.000593899,0.000593899
48,655.464,1.18012,0.78181,1.07008,0.82354,0.77973,0.82146,0.58432,1.0238,0.7318,1.07316,0.000590092,0.000590092,0.000590092
49,669.028,1.19703,0.79304,1.08504,0.77925,0.76539,0.7985,0.58338,1.02076,0.70392,1.07964,0.000586286,0.000586286,0.000586286
50,682.983,1.15781,0.79003,1.05792,0.86532,0.75686,0.83037,0.58984,1.00609,0.69608,1.07735,0.000582479,0.000582479,0.000582479
51,696.639,1.17288,0.79224,1.07071,0.81553,0.76682,0.82725,0.59569,0.9851,0.71042,1.05091,0.000578672,0.000578672,0.000578672
52,710.362,1.1544,0.77236,1.05734,0.82136,0.76857,0.80967,0.58457,0.98976,0.74822,1.05083,0.000574866,0.000574866,0.000574866
53,723.827,1.14398,0.7464,1.05388,0.78113,0.78439,0.82643,0.59692,0.969,0.7024,1.04866,0.000571059,0.000571059,0.000571059
54,737.46,1.16515,0.74903,1.04987,0.87243,0.78722,0.836,0.6029,0.99414,0.67755,1.05122,0.000567253,0.000567253,0.000567253
55,751.03,1.148,0.74475,1.05479,0.84988,0.77978,0.82241,0.57991,0.99669,0.67238,1.05835,0.000563446,0.000563446,0.000563446
