epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7066,2.29902,2.44121,1.79874,0.64447,0.10016,0.15128,0.09235,2.00144,3.24533,1.82421,0.00024901,0.00024901,0.00024901
2,28.6481,1.70347,1.44031,1.35028,0.63903,0.48805,0.54824,0.35449,1.40552,1.50162,1.33974,0.000405285,0.000405285,0.000405285
3,42.3959,1.52362,1.23034,1.24586,0.79715,0.60949,0.68663,0.4498,1.22171,1.08135,1.1953,0.000460052,0.000460052,0.000460052
4,56.2108,1.40183,1.11877,1.18811,0.79065,0.64088,0.71347,0.48342,1.18539,0.96466,1.17103,0.000312214,0.000312214,0.000312214
5,73.193,1.41742,1.05511,1.19295,0.79405,0.67726,0.73796,0.4979,1.14792,0.90162,1.15224,0.000159952,0.000159952,0.000159952
