epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,538.452,1.20855,0.78884,1.07374,0.77086,0.80894,0.84452,0.60853,1.02025,0.71008,1.06188,0.000612931,0.000612931,0.000612931
43,550.387,1.21032,0.77365,1.07767,0.86537,0.76871,0.84967,0.60021,1.06589,0.6965,1.08294,0.000609125,0.000609125,0.000609125
44,563.115,1.20842,0.78422,1.07431,0.73532,0.79213,0.80247,0.57287,1.01724,0.67618,1.06354,0.000605318,0.000605318,0.000605318
45,575.932,1.22276,0.7857,1.07914,0.85158,0.77296,0.82518,0.58334,1.0234,0.70891,1.07286,0.000601512,0.000601512,0.000601512
46,588.934,1.16794,0.76237,1.06284,0.80874,0.79274,0.83036,0.58158,1.04159,0.72202,1.07319,0.000597705,0.000597705,0.000597705
47,601.596,1.20527,0.78455,1.06715,0.85568,0.75561,0.83244,0.58453,1.02093,0.70995,1.06267,0.000593899,0.000593899,0.000593899
48,614.434,1.14682,0.73602,1.04751,0.82248,0.79698,0.84045,0.61114,1.01453,0.67398,1.07798,0.000590092,0.000590092,0.000590092
49,627.387,1.15915,0.74455,1.06034,0.82645,0.78636,0.84047,0.60675,1.01448,0.66449,1.06118,0.000586286,0.000586286,0.000586286
50,640.02,1.18073,0.75086,1.05837,0.87365,0.77722,0.83376,0.60716,1.00908,0.6424,1.05751,0.000582479,0.000582479,0.000582479
51,652.172,1.17307,0.74348,1.06821,0.79311,0.80304,0.84917,0.60893,0.99312,0.63992,1.04857,0.000578672,0.000578672,0.000578672
52,664.312,1.13394,0.74365,1.04812,0.79858,0.78641,0.83053,0.59699,1,0.66317,1.06149,0.000574866,0.000574866,0.000574866
53,677.122,1.22065,0.74953,1.07166,0.87747,0.81305,0.85467,0.61115,1.03258,0.64442,1.07016,0.000571059,0.000571059,0.000571059
54,690.138,1.15702,0.72742,1.04675,0.80304,0.79061,0.82778,0.58355,1.00875,0.6763,1.05762,0.000567253,0.000567253,0.000567253
55,702.796,1.14885,0.73251,1.05265,0.76844,0.79746,0.83209,0.59912,1.03126,0.68671,1.10305,0.000563446,0.000563446,0.000563446
56,715.902,1.15321,0.72094,1.05343,0.83833,0.7816,0.8476,0.59882,1.04426,0.66065,1.08224,0.00055964,0.00055964,0.00055964
57,728.625,1.15098,0.71698,1.05518,0.8465,0.74902,0.83213,0.60151,1.01612,0.66374,1.07881,0.000555833,0.000555833,0.000555833
58,741.475,1.17412,0.72227,1.05365,0.87004,0.77239,0.83368,0.61208,1.0145,0.64995,1.0587,0.000552027,0.000552027,0.000552027
59,753.995,1.15728,0.69721,1.04549,0.86726,0.77068,0.84272,0.61186,1.02537,0.63669,1.06598,0.00054822,0.00054822,0.00054822
60,766.246,1.12379,0.68574,1.04501,0.83533,0.79102,0.84497,0.60159,1.08455,0.65928,1.08862,0.000544414,0.000544414,0.000544414
61,778.844,1.15489,0.71054,1.05423,0.78695,0.82738,0.81597,0.59047,1.03709,0.67628,1.08927,0.000540607,0.000540607,0.000540607
62,791.572,1.13228,0.69851,1.04387,0.83762,0.80685,0.83729,0.6014,1.01382,0.62566,1.07932,0.0005368,0.0005368,0.0005368
63,804.601,1.10621,0.69378,1.03626,0.86584,0.78391,0.84428,0.61249,1.03732,0.68182,1.08148,0.000532994,0.000532994,0.000532994
64,817.705,1.08035,0.68163,1.01854,0.89887,0.78372,0.85297,0.61331,1.0204,0.65857,1.07033,0.000529187,0.000529187,0.000529187
65,830.652,1.11795,0.68577,1.03694,0.82254,0.75322,0.81352,0.57914,1.0215,0.66186,1.0804,0.000525381,0.000525381,0.000525381
66,843.663,1.12329,0.6743,1.03369,0.83563,0.798,0.83394,0.61282,0.99981,0.62555,1.05231,0.000521574,0.000521574,0.000521574
67,856.553,1.09432,0.6658,1.02969,0.88967,0.74517,0.82813,0.59573,1.03006,0.63213,1.07367,0.000517768,0.000517768,0.000517768
68,869.52,1.11464,0.68261,1.04533,0.83135,0.80874,0.83483,0.59832,1.02824,0.63387,1.07975,0.000513961,0.000513961,0.000513961
69,881.546,1.10511,0.68401,1.03944,0.825,0.78132,0.83813,0.59311,1.0084,0.63912,1.06643,0.000510155,0.000510155,0.000510155
70,893.91,1.10984,0.66824,1.02438,0.8475,0.77964,0.8452,0.60846,1.02722,0.64817,1.07361,0.000506348,0.000506348,0.000506348
71,906.872,1.13813,0.67991,1.03885,0.88686,0.79332,0.86527,0.61652,1.0127,0.63163,1.06426,0.000502541,0.000502541,0.000502541
72,919.713,1.09745,0.6664,1.0376,0.86437,0.79342,0.85918,0.62577,0.99841,0.62262,1.0657,0.000498735,0.000498735,0.000498735
73,932.772,1.11712,0.66824,1.03767,0.82531,0.81078,0.84816,0.61272,0.99986,0.62275,1.07169,0.000494928,0.000494928,0.000494928
74,945.725,1.13209,0.66574,1.04549,0.85519,0.77918,0.85342,0.61847,1.00983,0.66634,1.05045,0.000491122,0.000491122,0.000491122
75,958.532,1.08025,0.65553,1.02586,0.88309,0.77855,0.85265,0.60358,1.0463,0.64793,1.07791,0.000487315,0.000487315,0.000487315
76,971.542,1.11072,0.68022,1.04137,0.81173,0.78075,0.83611,0.58826,1.00838,0.65079,1.08054,0.000483509,0.000483509,0.000483509
77,984.681,1.08566,0.65578,1.03657,0.83984,0.78104,0.84118,0.58774,1.0071,0.643,1.07163,0.000479702,0.000479702,0.000479702
78,996.607,1.09934,0.66268,1.02398,0.87381,0.7732,0.83617,0.60028,1.00523,0.63505,1.06018,0.000475896,0.000475896,0.000475896
79,1008.65,1.0748,0.65117,1.02309,0.85373,0.79412,0.85222,0.60219,1.00468,0.64823,1.06553,0.000472089,0.000472089,0.000472089
80,1021.2,1.04909,0.62299,1.00247,0.8133,0.81884,0.84567,0.58697,1.04202,0.63628,1.07166,0.000468283,0.000468283,0.000468283
81,1033.98,1.08371,0.63297,1.02246,0.89442,0.76737,0.8349,0.60103,1.03586,0.65705,1.06989,0.000464476,0.000464476,0.000464476
82,1047.02,1.07551,0.6346,1.02014,0.86089,0.79496,0.84485,0.59973,1.01734,0.63273,1.07236,0.000460669,0.000460669,0.000460669
